# index, _pos
246,"array([1.68104861, 2.94152267])"
247,"array([1.81672887, 2.98253345])"
248,"array([1.72450396, 2.92112656])"
249,"array([1.33932057, 2.98880686])"
250,"array([1.80647565, 2.85110911])"
251,"array([1.65003341, 2.88521623])"
252,"array([1.55325036, 2.83524947])"
253,"array([1.81133003, 2.99890998])"
254,"array([1.81225831, 2.97499758])"
255,"array([1.63557825, 2.93029544])"
256,"array([1.543445 , 2.8762289])"
257,"array([1.90415045, 3.00095011])"
258,"array([1.73388891, 2.94526917])"
259,"array([1.89644618, 2.97057641])"
260,"array([1.72391957, 2.96978553])"
261,"array([1.8696593 , 2.97862866])"
262,"array([1.80462644, 2.97068514])"
263,"array([1.96801672, 3.00179128])"
264,"array([1.79043611, 3.00825897])"
265,"array([1.67175709, 3.02797814])"
266,"array([1.86286878, 2.96371228])"
267,"array([1.91387199, 2.98895314])"
268,"array([1.9149669 , 2.97786637])"
269,"array([1.69970763, 2.93838061])"
270,"array([1.89814116, 2.99319395])"
271,"array([1.7133906 , 2.96230028])"
272,"array([1.90538291, 3.02707377])"
273,"array([1.8609507 , 3.00193213])"
274,"array([1.8815446 , 3.01232533])"
275,"array([1.89280128, 2.98094732])"
276,"array([1.85841925, 2.97080583])"
277,"array([1.69283886, 2.96320879])"
278,"array([1.70178149, 2.91577273])"
279,"array([1.86030544, 2.97979365])"
280,"array([1.86655137, 2.97081784])"
281,"array([1.70353515, 2.98975905])"
282,"array([1.82077391, 2.9953375 ])"
283,"array([1.78655325, 2.92470058])"
284,"array([1.74180411, 2.95906605])"
285,"array([1.63703459, 2.92574175])"
286,"array([1.70068171, 2.97748509])"
287,"array([1.92119137, 3.00712683])"
288,"array([1.7660308, 2.9337009])"
289,"array([1.79265102, 2.98777958])"
290,"array([1.73870429, 2.96809583])"
291,"array([1.84234104, 2.96495096])"
292,"array([1.82611453, 2.96077176])"
293,"array([1.75462969, 2.97975385])"
294,"array([1.8132094 , 2.93633208])"
295,"array([1.98846744, 3.03387449])"
296,"array([1.65467484, 2.91517099])"
297,"array([1.8909566 , 2.94599917])"
298,"array([1.72717136, 2.97534843])"
299,"array([1.92949208, 2.99718319])"
300,"array([1.91965053, 3.02696485])"
301,"array([1.81008119, 2.87212412])"
302,"array([1.90731157, 2.92876365])"
303,"array([1.74706913, 2.96609235])"
304,"array([1.34389475, 2.67512824])"
305,"array([1.65752348, 2.93328073])"
306,"array([1.65917746, 2.93972857])"
307,"array([1.74904668, 2.93911201])"
308,"array([1.90243001, 2.95728163])"
309,"array([1.63079135, 2.9476157 ])"
310,"array([1.52460482, 2.87477705])"
311,"array([1.72550192, 2.98958461])"
312,"array([1.82306582, 2.9699092 ])"
313,"array([1.85603272, 2.94783024])"
314,"array([1.80137168, 2.95021363])"
315,"array([1.75656667, 2.91883399])"
316,"array([1.83078958, 3.0223511 ])"
